source,video_id,author,text,published_at,like_count,fetched_at,sentiment,raw_score,scaled_score,benchmark,sentiment_confidence,emotion,emotion_confidence
youtube,W01OFyxXyVs,@Sayfİüddinövhan-o9o,Maşallah bozkurt geldim 🔥🔥🔥🤘🏻🐺,2026-02-18T00:39:27Z,1,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.8525,Neutral,0.6606
youtube,W01OFyxXyVs,@novara8955,are you a wolf or an alpha wolf too or what why is it scared of you did you eat a gun and a bullet for breakfast 😭,2026-02-18T00:00:30Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.8945,Fear,0.9505
youtube,W01OFyxXyVs,@MuydinjonMuhammadjonov,it looks like a bear 😮😮😮,2026-02-15T05:56:07Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.5716,Neutral,0.5782
youtube,W01OFyxXyVs,@Sherlyn-i4n,If it bit u,2026-02-14T21:42:55Z,1,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.7477,Neutral,0.431
youtube,W01OFyxXyVs,@BSforeveryoutubechannel,Thank u wolf that person is call you thank u,2026-02-13T12:55:04Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.6332,Neutral,0.4593
youtube,W01OFyxXyVs,@beebee5885,Thsts just a dog,2026-02-13T09:01:39Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.5282,Neutral,0.7825
youtube,W01OFyxXyVs,@poopital319,Ai?,2026-02-13T02:58:52Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.4512,Surprise,0.8949
youtube,W01OFyxXyVs,@JROCC74,Lets see a kangal try this guy,2026-02-12T13:17:02Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.3649,Neutral,0.447
youtube,W01OFyxXyVs,@Shadowysweetness,I’m gonna snuggle him when I sleep,2026-02-10T14:32:47Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.468,Neutral,0.3733
youtube,W01OFyxXyVs,@kiasiabassett,Me yay 😁,2026-02-08T14:46:53Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.85,Joy,0.6651
youtube,W01OFyxXyVs,@WorldOfFactsZZZ,that thing looks as eerie as the devil,2026-02-07T21:29:39Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.599,Fear,0.8077
youtube,W01OFyxXyVs,@WhiteCranK,Fake,2026-02-07T18:47:46Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.4327,Neutral,0.5574
youtube,W01OFyxXyVs,@SofienYousfi-d6b,أتوماتيكي مات خوف شيطبان مرور أنا زي فحسب,2026-02-07T14:00:31Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.4724,Neutral,0.4961
youtube,W01OFyxXyVs,@Cruisehr_617,Darcia the 3rd 🐺,2026-02-07T01:42:08Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.4935,Neutral,0.8486
youtube,W01OFyxXyVs,@ConnorWatt-e3r,Is bro thinking about his life or his video,2026-02-06T17:06:14Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.7985,Neutral,0.7388
youtube,W01OFyxXyVs,@rumandbittas,That’s Terrifying seeing something like that,2026-02-03T16:45:44Z,1,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.9445,Joy,0.6038
youtube,W01OFyxXyVs,@LioLion-l5j,I-is it still petable? I wanna pet :3,2026-02-01T20:45:19Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.4561,Surprise,0.5348
youtube,W01OFyxXyVs,@MoonPawStudioPlus,That massive,2026-02-01T12:35:46Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.3821,Surprise,0.5643
youtube,W01OFyxXyVs,@Chiller-pc1dv,"""Alpha"" wolves are literally just the parents, packs are families.",2026-01-30T06:50:39Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.6336,Neutral,0.9679
youtube,W01OFyxXyVs,@KingNelson-o6x8h,Bro thats skinwelker😂,2026-01-28T11:18:36Z,1,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.4844,Neutral,0.7272
youtube,W01OFyxXyVs,@BackonVinagre,Behold a True Lycan- Lucian os that you?,2026-01-26T21:43:54Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.6289,Neutral,0.3249
youtube,W01OFyxXyVs,@MichaelMosesHammer,He's a Bad Boy for real!,2026-01-26T05:23:11Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.9342,Anger,0.4235
youtube,W01OFyxXyVs,@ThirdoptionJCSU,No dogs can fight this wolf,2026-01-26T00:42:07Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.8039,Neutral,0.5061
youtube,W01OFyxXyVs,@LindaGunner-x7k,Wow rare to see 👍,2026-01-25T19:45:24Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.7715,Surprise,0.8927
youtube,W01OFyxXyVs,@Abigal-g9q,Is an alpha wolf and I know you already said that but I want to tell you about alpha wolves so first it has red eyes like the one in 99 nights in the forest and is glowing red and second they kinda kill so if you see and alpha wolf then run immediately,2026-01-25T14:37:02Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.4805,Neutral,0.8045
youtube,W01OFyxXyVs,@rachidachilah9440,"If i was that person i will be like:awww a cute lil wolf how are u lil guy*pets the wolf**kidnapps the wolf*U COMING WITH ME U AINT ESCAPING OK DONT WORRY I HAVE MEAT IN MY HOUSE NOT ANIMAL MEAT BUT U CAN EAT MY BEOTHER THE STICK ONE HES LIKE A STICK BUT U GOTTA STAY WITH ME OK



AND YES GUYS I LOVE ANIMALS IF UR WONDERING :]",2026-01-24T08:33:54Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.4276,Sadness,0.3175
youtube,W01OFyxXyVs,@Keeptruckingmanex2,Would have treated him like a speed bump u gotta be a truck driver to understand,2026-01-21T12:43:10Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.8479,Neutral,0.5215
youtube,W01OFyxXyVs,@brotato383,Bro is so dead 😂😂😂😂😂,2026-01-16T12:53:31Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.7474,Sadness,0.7235
youtube,W01OFyxXyVs,@crdbl_k,Jesus that's scary.. imagine seeing it in front of you,2026-01-16T08:54:08Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.935,Fear,0.9641
youtube,W01OFyxXyVs,@TitanBros69,Same i saw it too,2026-01-14T23:11:28Z,1,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.6226,Neutral,0.6514
youtube,W01OFyxXyVs,@Godzilla-y5m,is that even real,2026-01-14T16:51:41Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.5032,Surprise,0.8295
youtube,W01OFyxXyVs,@amersaleem9333,99 day in the forest,2026-01-14T12:17:19Z,1,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.5478,Neutral,0.6791
youtube,W01OFyxXyVs,@JK47-d7y,You can tell that wolf has been in a ton of scraps which were probably fight to the death. Just look at all the scars and bite marks everywhere. That thing is mean!,2026-01-14T03:06:48Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.9319,Disgust,0.7994
youtube,W01OFyxXyVs,@DanielWern,thas me as theirean rn,2026-01-10T13:11:39Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.5198,Neutral,0.7105
youtube,W01OFyxXyVs,@ShawnH696,💩💅🕳,2026-01-08T13:56:21Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.5019,Neutral,0.805
youtube,W01OFyxXyVs,@ShawnH696,🧠🫀👄🫁💀👹,2026-01-08T13:16:08Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.4628,Neutral,0.6304
youtube,W01OFyxXyVs,@ShawnH696,👹👀🦴,2026-01-08T12:29:45Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.6233,Neutral,0.7569
youtube,W01OFyxXyVs,@hi_guys65,Thats a bear i think not sure,2026-01-06T22:35:51Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.6739,Neutral,0.4964
youtube,W01OFyxXyVs,@von16hunxho,Who will win a pitbull or this wolf in a fight ?,2026-01-05T04:10:15Z,1,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.538,Neutral,0.9164
youtube,W01OFyxXyVs,@nicholasnogales465,Reminds me of Silver Bullet the movie where a werewolf took a rocket in the eye.,2026-01-05T03:57:59Z,1,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.4468,Disgust,0.4043
youtube,W01OFyxXyVs,@rylinraye,YES SIR ALPHA.🫡,2026-01-05T00:47:03Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.733,Neutral,0.831
youtube,W01OFyxXyVs,@marvelousmadmen832,"Kind of reminds me of Black Shuck. Better watch out,",2026-01-04T14:21:44Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.6601,Disgust,0.7257
youtube,W01OFyxXyVs,@blackshark-boz,Lion :- what did you say😂😂😂,2026-01-04T14:02:59Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.5808,Surprise,0.4994
youtube,W01OFyxXyVs,@odkhuuod1013,Wow big dog😂😂😂,2025-12-31T23:51:48Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.6638,Surprise,0.8867
youtube,W01OFyxXyVs,@iSRS28-ov3ps,Lord have mercy 🥺 on anyone or anything walking in his path...dang,2025-12-31T02:52:29Z,0,2026-02-21T11:17:20.949423,Negative,-1,0.0,5,0.8052,Anger,0.6944
youtube,W01OFyxXyVs,@yonesbensellam8884,"Watch movie "" The Grey""",2025-12-30T04:39:26Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.6207,Neutral,0.8609
youtube,W01OFyxXyVs,@AllglorytoGod26,Jesus Saves,2025-12-28T11:04:24Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.5361,Sadness,0.8466
youtube,W01OFyxXyVs,@donspider1,Living  Fenir 🎉,2025-12-27T22:54:16Z,0,2026-02-21T11:17:20.949423,Positive,1,5.0,5,0.8837,Neutral,0.4838
youtube,W01OFyxXyVs,@GustavoSilvaSantos-z3j,Wolf,2025-12-27T17:31:20Z,0,2026-02-21T11:17:20.949423,Neutral,0,2.5,5,0.3883,Neutral,0.7029
