source,video_id,author,text,published_at,like_count,sentiment,raw_score,scaled_score,benchmark,sentiment_confidence,emotion,emotion_confidence,fetched_at
youtube,FBJdaRbIvb8,@Bloombuddy_withlove,"Hi, do we get rejected after submitting documents because i got a senior manager interview after that and now its been 2 days no updates",2026-02-20T10:31:06Z,1,Neutral,0,2.5,5,0.5021,Sadness,0.7866,2026-02-21T10:06:25.829718
youtube,FBJdaRbIvb8,@NeelamDutta-ze2vw,"2 week phle bola offer letter dege ...phir offer letter ka form bhi bheja. Onboarding ka mail bhi aaya..ek din baad call karke bolte h ki ..."".form ni bharna tha.."".

""Cleint kuch postions ko hold par rakh deta ....etc.""

Baakiyo ke usi din offer letter aa gye 

Mera ni aaya 
Maine msg kiya(aaj) ki  ""sir kahi aur job kar lu join""

Reply aaya ""wait""

Uske baad msg ignore karna start.

Sir kahi aur join kar lu kya???",2026-01-17T11:49:31Z,1,Negative,-1,0.0,5,0.3743,Neutral,0.5471,2026-02-21T10:06:26.129640
youtube,FBJdaRbIvb8,@royaldaddy2176,"I am shotlisted for get role in hcl
 But they are giving training and informed about hackathon about that. Can you twll me how will the hackathon conduct. Is is a simple online test or like a real hackathon?",2026-01-09T07:45:29Z,1,Neutral,0,2.5,5,0.5404,Neutral,0.5663,2026-02-21T10:06:26.289118
youtube,FBJdaRbIvb8,@shikharsrivastava8545,Brother there is HCL hackathon after training. What is this,2026-01-05T03:26:35Z,1,Neutral,0,2.5,5,0.5319,Surprise,0.5161,2026-02-21T10:06:26.406293
youtube,FBJdaRbIvb8,@ajaykumar-mw9rh,"Junior manager ka syllabus kya h 
Tech aur non technical ka weightage kya h",2025-12-22T18:35:55Z,1,Neutral,0,2.5,5,0.7044,Fear,0.475,2026-02-21T10:06:26.534233
youtube,FBJdaRbIvb8,@prajwaldeshmukh9295,Hello brother as a GET hcl mai joining mai phle se PF account hai toh issue aayega kya joining mai onboarding process mai,2025-12-13T10:14:58Z,1,Neutral,0,2.5,5,0.4022,Joy,0.5282,2026-02-21T10:06:26.679815
youtube,FBJdaRbIvb8,@Amritakumari-m7s8k,Hi,2025-11-22T06:13:01Z,1,Neutral,0,2.5,5,0.4643,Neutral,0.9317,2026-02-21T10:06:26.737444
youtube,FBJdaRbIvb8,@KingGidroh,"I completed my hr round. In the hr round they asked for 10,12,ug percentages and company policy, package, relocation etc.They didn't said you are selected or not and they asked to send  my mark sheets to mail.How many days time taken to give result whether iam selected or not",2025-11-21T05:31:03Z,2,Neutral,0,2.5,5,0.7516,Neutral,0.5559,2026-02-21T10:06:26.942647
youtube,FBJdaRbIvb8,@bharanikumar-v4,not 3month 2month,2025-11-15T13:33:59Z,1,Neutral,0,2.5,5,0.6909,Neutral,0.7684,2026-02-21T10:06:27.044257
youtube,ahHVcsJltes,@bishakhasingh7798,I'm interested,2026-01-27T07:18:17Z,0,Neutral,0,2.5,5,0.639,Neutral,0.3787,2026-02-21T10:06:27.833542
youtube,ahHVcsJltes,@vinodpawar2053,Link,2026-01-14T07:07:59Z,0,Neutral,0,2.5,5,0.4408,Neutral,0.9212,2026-02-21T10:06:27.907355
youtube,ahHVcsJltes,@Manish89990,Link plz,2026-01-08T17:59:09Z,0,Neutral,0,2.5,5,0.4799,Neutral,0.9266,2026-02-21T10:06:27.983628
youtube,ahHVcsJltes,@ajjadasurekha-ko2wu,Link,2026-01-06T14:35:40Z,0,Neutral,0,2.5,5,0.4408,Neutral,0.9212,2026-02-21T10:06:28.041728
youtube,ahHVcsJltes,@premcharan8804,Link,2025-12-27T15:57:47Z,0,Neutral,0,2.5,5,0.4408,Neutral,0.9212,2026-02-21T10:06:28.097218
youtube,ahHVcsJltes,@TilakSavant,Its true can apply,2025-11-30T19:01:01Z,0,Neutral,0,2.5,5,0.5822,Neutral,0.9311,2026-02-21T10:06:28.190567
youtube,ahHVcsJltes,@manjushakaki-vx3rp,Link I need job,2025-10-23T12:02:20Z,0,Neutral,0,2.5,5,0.6467,Neutral,0.5439,2026-02-21T10:06:28.285974
youtube,ahHVcsJltes,@rajeeth850,Pls sent the link,2025-10-22T14:49:28Z,0,Neutral,0,2.5,5,0.7757,Neutral,0.8993,2026-02-21T10:06:28.387294
youtube,ahHVcsJltes,@aditisingh236,can I get a link,2025-10-12T06:56:24Z,0,Neutral,0,2.5,5,0.7264,Neutral,0.6292,2026-02-21T10:06:28.496418
youtube,ahHVcsJltes,@NandiniNalluri,Anyone please help me out...while applying at college name ..my college name is not available. Even other option is also not showing...please help me out anyone,2025-09-24T04:14:31Z,0,Negative,-1,0.0,5,0.7665,Sadness,0.7398,2026-02-21T10:06:28.641473
youtube,ahHVcsJltes,@ManikaTechIndia,I gave communication interview at 29 august should I expect result,2025-09-11T09:51:51Z,0,Neutral,0,2.5,5,0.9043,Surprise,0.3973,2026-02-21T10:06:28.739720
youtube,ahHVcsJltes,@SanmugamSaratha,Link sir,2025-08-25T04:36:18Z,1,Neutral,0,2.5,5,0.4021,Neutral,0.9619,2026-02-21T10:06:28.814596
youtube,ahHVcsJltes,@sfgamingchannel4940,I received a mail from HCL for graduate Trainee role,2025-08-23T07:11:09Z,1,Neutral,0,2.5,5,0.7807,Surprise,0.3184,2026-02-21T10:06:28.933832
youtube,ahHVcsJltes,@kamalchaudhary9128,I need jobs,2025-08-13T06:34:28Z,1,Neutral,0,2.5,5,0.4877,Sadness,0.8228,2026-02-21T10:06:29.016554
youtube,ahHVcsJltes,@anushkashrirame7417,link,2025-07-15T07:44:46Z,0,Neutral,0,2.5,5,0.4395,Neutral,0.9042,2026-02-21T10:06:29.078143
youtube,ahHVcsJltes,@ChandhoraShobha,How to apply. please link 🔗,2025-07-08T11:25:14Z,1,Neutral,0,2.5,5,0.8282,Neutral,0.9484,2026-02-21T10:06:29.172418
youtube,ahHVcsJltes,@gsushmaswaraj9789,"Hii sir
Can i get a apply link",2025-07-03T18:52:49Z,0,Neutral,0,2.5,5,0.7208,Neutral,0.5594,2026-02-21T10:06:29.271438
youtube,ahHVcsJltes,@sujit_bhale_photography,Link,2025-06-30T18:22:18Z,0,Neutral,0,2.5,5,0.4408,Neutral,0.9212,2026-02-21T10:06:29.329100
youtube,ahHVcsJltes,@_146_tanishakumari2,Link,2025-06-23T06:59:49Z,0,Neutral,0,2.5,5,0.4408,Neutral,0.9212,2026-02-21T10:06:29.385200
youtube,ahHVcsJltes,@vipulGehlot43,How to apply,2025-06-16T07:11:42Z,0,Neutral,0,2.5,5,0.7074,Neutral,0.929,2026-02-21T10:06:29.478482
youtube,ahHVcsJltes,@AIshorts-Dev,Interested sir,2025-06-16T05:13:59Z,1,Positive,1,5.0,5,0.4567,Neutral,0.9235,2026-02-21T10:06:29.567244
youtube,ahHVcsJltes,@swetakumari5781,plzz provide us link?,2025-06-11T06:02:37Z,1,Neutral,0,2.5,5,0.498,Neutral,0.6061,2026-02-21T10:06:29.685700
youtube,ahHVcsJltes,@LuckyKotthapalli,Application link bro,2025-03-26T04:05:01Z,1,Neutral,0,2.5,5,0.784,Neutral,0.8729,2026-02-21T10:06:29.771539
youtube,ahHVcsJltes,@revathym.r4455,did anyone attend the walk-in drive that happened on March 8 for the graduate trainee role in Chennai ELCOT location ?,2025-03-24T07:13:34Z,3,Neutral,0,2.5,5,0.9096,Neutral,0.7585,2026-02-21T10:06:29.903835
youtube,ahHVcsJltes,@yuvrajsinghyadav2084,Link,2025-02-28T05:38:47Z,0,Neutral,0,2.5,5,0.4408,Neutral,0.9212,2026-02-21T10:06:29.963737
youtube,ahHVcsJltes,@harshitatangudu,Link 🔗,2025-01-14T17:59:46Z,1,Neutral,0,2.5,5,0.8181,Neutral,0.9561,2026-02-21T10:06:30.048225
youtube,ahHVcsJltes,@keerthisingaram6508,I CANNOT edit my previous application in the portal,2024-11-25T14:10:37Z,0,Negative,-1,0.0,5,0.8227,Sadness,0.5927,2026-02-21T10:06:30.157215
youtube,ahHVcsJltes,@shivangisrivastav5347,How i can appply after graduation,2024-11-14T15:59:32Z,0,Neutral,0,2.5,5,0.7937,Neutral,0.6293,2026-02-21T10:06:30.249049
youtube,ahHVcsJltes,@_SanskarKesharwani_,I have a interview in 11 nov so what’s the process regarding this role,2024-11-09T06:43:56Z,0,Neutral,0,2.5,5,0.8787,Neutral,0.8043,2026-02-21T10:06:30.358853
youtube,ahHVcsJltes,@mitalirastogi9651,How can i apply graduate trainee,2024-09-22T15:15:42Z,0,Neutral,0,2.5,5,0.8173,Fear,0.5602,2026-02-21T10:06:30.457567
youtube,ahHVcsJltes,@FunWavi,"i have given the HCL recruitment drive earlier by on campus drive
But i have applied for hcl graduate trainee this time also and got an mail from hcl for walk in interview 
So i am eligible or not?
Please replyyyyyy??",2024-07-26T08:42:14Z,2,Neutral,0,2.5,5,0.684,Fear,0.356,2026-02-21T10:06:30.634338
youtube,ahHVcsJltes,@chinni922,How many rounds will be there for this role,2024-03-10T11:15:57Z,1,Neutral,0,2.5,5,0.848,Neutral,0.6511,2026-02-21T10:06:30.731653
youtube,ahHVcsJltes,@akashkumarpandey904,percentage criteria,2024-01-20T12:29:45Z,5,Neutral,0,2.5,5,0.7053,Neutral,0.885,2026-02-21T10:06:30.808633
youtube,ahHVcsJltes,@gundamdinesh5067,Link,2023-08-19T10:10:55Z,1,Neutral,0,2.5,5,0.4408,Neutral,0.9212,2026-02-21T10:06:30.871379
youtube,ahHVcsJltes,@MyCodingDiary,Your explanations are always on point. Thanks for sharing your knowledge!,2023-08-18T07:04:17Z,5,Positive,1,5.0,5,0.9348,Joy,0.6158,2026-02-21T10:06:30.981540
