source,video_id,author,text,published_at,like_count,fetched_at,sentiment,raw_score,scaled_score,benchmark,sentiment_confidence,emotion,emotion_confidence
youtube,W3_x2opdxpI,@ashokswami8627,How it's  available  or not,2025-11-14T16:23:44Z,0,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.9081,Neutral,0.4221
youtube,W3_x2opdxpI,@silaparasettivarichannel4044,Night time veg avilable,2025-11-11T03:13:50Z,0,2026-02-21T11:03:08.216688,Negative,-1,0.0,5,0.7237,Fear,0.4376
youtube,W3_x2opdxpI,@nakkasanthoshkumar4176,Address,2025-07-03T07:03:39Z,0,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.3953,Neutral,0.9218
youtube,W3_x2opdxpI,@sultanrajahabibi230,My all friend . This restaurant all items ok. Really iam happy,2024-10-12T10:05:43Z,0,2026-02-21T11:03:08.216688,Positive,1,5.0,5,0.8087,Joy,0.9574
youtube,W3_x2opdxpI,@venkyp1576,ప్రజెంట్ ఇప్పుడా హోటల్స్ ఉన్నాయా,2024-09-02T12:14:17Z,0,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.5134,Neutral,0.386
youtube,W3_x2opdxpI,@srinivasthangellapalli4307,Where it is please,2024-08-15T04:45:09Z,0,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.7354,Neutral,0.9376
youtube,W3_x2opdxpI,@Vasu-x4j,Madam,2024-07-22T13:02:05Z,0,2026-02-21T11:03:08.216688,Positive,1,5.0,5,0.4128,Neutral,0.8022
youtube,W3_x2opdxpI,@garugubilliprabhakar9940,Sunday kuda available ga untundhaaa andi,2024-06-02T14:24:34Z,0,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.3492,Neutral,0.5022
youtube,W3_x2opdxpI,@rajurelli1224,It's nice,2024-05-11T17:43:58Z,0,2026-02-21T11:03:08.216688,Positive,1,5.0,5,0.8294,Joy,0.9667
youtube,W3_x2opdxpI,@kalyanisai1998,"Reasonal price and quality also nice
Worthy to visit",2023-06-28T09:55:06Z,1,2026-02-21T11:03:08.216688,Positive,1,5.0,5,0.8716,Joy,0.7657
youtube,W3_x2opdxpI,@tirusatraboyina405,Kids ki entha,2023-05-22T08:23:34Z,1,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.372,Neutral,0.8532
youtube,W3_x2opdxpI,@sandeep4285,Too much oil...and not much tasty,2023-04-19T09:55:16Z,1,2026-02-21T11:03:08.216688,Negative,-1,0.0,5,0.8627,Sadness,0.874
youtube,W3_x2opdxpI,@sravanthivakada1469,Adress,2023-04-16T04:16:00Z,1,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.4746,Neutral,0.7018
youtube,W3_x2opdxpI,@dasarisanthosh3025,Chala chala worest taste rate epudu 350,2023-02-24T18:15:14Z,2,2026-02-21T11:03:08.216688,Negative,-1,0.0,5,0.3687,Neutral,0.7896
youtube,W3_x2opdxpI,@sadipraveenn7072,Its closed,2023-01-27T10:01:09Z,2,2026-02-21T11:03:08.216688,Neutral,0,2.5,5,0.4841,Sadness,0.7723
