source,video_id,author,text,published_at,like_count,sentiment,raw_score,scaled_score,benchmark,confidence,fetched_at
youtube,cOLHS3kY8xY,@randomlifeshortsr,Employee is always employee,2026-01-05T09:12:35Z,0,Neutral,0,2.5,5,0.656,2026-02-21T09:46:50.069060
youtube,cOLHS3kY8xY,@SantoshThakur-wq1ig,Bhai ji ye it sector ya IT mantralaya ko dekhna chahiye sarkari Naukri sabka brd rha hai,2025-12-31T07:06:07Z,0,Negative,-1,0.0,5,0.3642,2026-02-21T09:46:50.193184
youtube,cOLHS3kY8xY,@inyourlove.25,"2025 m 2LPA de rhe h freshers ko, what a joke 😂",2025-12-25T19:30:27Z,0,Negative,-1,0.0,5,0.685,2026-02-21T09:46:50.300959
youtube,cOLHS3kY8xY,@ritirits1852,. 3 and 100 times,2025-11-07T12:38:09Z,0,Neutral,0,2.5,5,0.616,2026-02-21T09:46:50.405920
youtube,cOLHS3kY8xY,@parth_kalra,"Earlier there was a shortage engineers and now there is a huge supply 
Salaries also depend on demand and supply
Simple 😂",2025-11-04T14:11:45Z,1,Neutral,0,2.5,5,0.5502,2026-02-21T09:46:50.508870
youtube,cOLHS3kY8xY,@Arshdeepsingh-fn7ob,ye infosys wale kehte the 8 ghante ki jgh 12 ghante kaam kro,2025-10-29T05:00:22Z,0,Neutral,0,2.5,5,0.4208,2026-02-21T09:46:50.613263
youtube,cOLHS3kY8xY,@wwemaker5148,It's actually approx...30%. not 30x....also CEO salary increased 9900%....so 99x,2025-10-20T07:36:04Z,1,Neutral,0,2.5,5,0.5685,2026-02-21T09:46:50.712468
youtube,cOLHS3kY8xY,@wwemaker5148,If inflation counted...it's 0% growth,2025-10-20T07:32:35Z,0,Neutral,0,2.5,5,0.7339,2026-02-21T09:46:50.787586
youtube,cOLHS3kY8xY,@emkaypatel9886,"but CEO is one, or few in nos., while freshers are latge in nos.thogh it doesn't justify disparity in salary, here comes demand-supply rule.",2025-10-19T13:45:03Z,0,Negative,-1,0.0,5,0.699,2026-02-21T09:46:50.895558
youtube,cOLHS3kY8xY,@ANUJEDITZ8932,"Bhaiya, I 'm from ME branch in tier-3 college...I want a good package (money) in future..So, should I enter into IT sector or be remain in mechanical field..?
Please reply bhaiya ✨💐🙏",2025-09-29T12:18:52Z,0,Neutral,0,2.5,5,0.4777,2026-02-21T09:46:51.017266
youtube,cOLHS3kY8xY,@nirojsingha12,30% aur 30x me jameen aasmaan hai fark hai sir... Please change video editing...,2025-09-07T10:22:04Z,0,Neutral,0,2.5,5,0.3432,2026-02-21T09:46:51.118261
youtube,cOLHS3kY8xY,@SeekerShivG,It happens in every industry and in every category,2025-09-05T14:57:07Z,0,Neutral,0,2.5,5,0.6653,2026-02-21T09:46:51.181155
youtube,cOLHS3kY8xY,@PradeepSinghTomar86,Har pvt company me niche ke logo ka increment 4-6% hi hota hai. Taki wo jeewan bhar gareeb rahe,2025-08-30T11:13:49Z,0,Negative,-1,0.0,5,0.4377,2026-02-21T09:46:51.276484
youtube,cOLHS3kY8xY,@HiiNobita,100X nhi 1000X,2025-08-30T02:49:49Z,0,Neutral,0,2.5,5,0.6316,2026-02-21T09:46:51.341537
youtube,cOLHS3kY8xY,@DrBetala-xb1rk,PLEASE REPEAT IT EVERY WEEK.,2025-08-30T02:32:36Z,0,Negative,-1,0.0,5,0.418,2026-02-21T09:46:51.430463
youtube,cOLHS3kY8xY,@DrBetala-xb1rk,"BEST , SUPER BEST COMMENTRY. REALLY  BEST PRESENTATION OF FECTS",2025-08-30T02:32:08Z,0,Positive,1,5.0,5,0.8804,2026-02-21T09:46:51.523452
youtube,cOLHS3kY8xY,@shubhamjaiswal7516,Ceo has secrets 😂 and can join other companies...and salary depends on the skills you have ...and fresher ko sikhane k liye kaun paisa dega 😅,2025-08-28T19:26:47Z,1,Neutral,0,2.5,5,0.4262,2026-02-21T09:46:51.629555
youtube,cOLHS3kY8xY,@nilima7279,Sir it is 100 X and 1.3 X,2025-08-26T08:59:24Z,0,Neutral,0,2.5,5,0.8511,2026-02-21T09:46:51.694423
youtube,cOLHS3kY8xY,@001rao2,"Sir ek video Indian industry association pr Bnao 
Iske kya fayda h ya nhi h 
Isme registered hona chahiye ya nhi 
Ye kya hota",2025-08-25T13:18:51Z,0,Neutral,0,2.5,5,0.3871,2026-02-21T09:46:51.798470
youtube,cOLHS3kY8xY,@faisalbhat9858,It's 30% not 30x,2025-08-22T18:26:55Z,0,Neutral,0,2.5,5,0.5993,2026-02-21T09:46:51.868522
youtube,cOLHS3kY8xY,@srinibassaho,hamare yaha aisa hi hota hai,2025-08-05T02:31:51Z,0,Neutral,0,2.5,5,0.3684,2026-02-21T09:46:51.939500
youtube,cOLHS3kY8xY,@vdyt1234,Shameful 😢,2025-08-04T20:45:07Z,1,Negative,-1,0.0,5,0.9517,2026-02-21T09:46:52.011265
youtube,cOLHS3kY8xY,@pallabindia,Atleast they r giving hike of 30%others r restricted to 15%😅😅😅😅😅,2025-08-04T14:18:21Z,1,Neutral,0,2.5,5,0.5021,2026-02-21T09:46:52.094400
youtube,cOLHS3kY8xY,@SoumyaBiswas37,Absolutely and it is the case in every company in India.,2025-07-04T03:14:48Z,0,Neutral,0,2.5,5,0.5984,2026-02-21T09:46:52.177466
youtube,cOLHS3kY8xY,@iblamez,"You should also make a video about your struggle, how did you become a doctor, how did you become successful, what difficulties did you face, so that we too can get inspiration",2025-06-19T09:52:21Z,1,Neutral,0,2.5,5,0.607,2026-02-21T09:46:52.273209
