source,video_id,author,text,published_at,like_count,sentiment,raw_score,scaled_score,benchmark,confidence,fetched_at
youtube,-5nI1t5vREA,@youngthug_00,Wanna be Elon Musk 😂😂,2026-02-16T17:47:00Z,0,Neutral,0,5.0,10,0.6457,2026-02-21T09:38:10.232981
youtube,-5nI1t5vREA,@naninani9155,"Sir yet I am suffering bcz of Ola electric, I bought Ola electric sabse faaltu Company, they frustrated me with issues service such a nightmare experience for me ... I am suffering pls DON'T BUY OLA ELECTRIC... else YOU WILL SUFFER",2026-02-05T10:36:54Z,0,Negative,-1,0.0,10,0.9417,2026-02-21T09:38:10.354518
youtube,-5nI1t5vREA,@gurmeetsingh74,"Good product but bad customer service will bring you a complaint.
Ola electric is dying unless it changes fast",2026-01-27T16:23:03Z,0,Negative,-1,0.0,10,0.9286,2026-02-21T09:38:10.431217
youtube,-5nI1t5vREA,@jeetrathod2422,He is working in making battery cells which can change energy-efficiency of our country,2026-01-09T15:36:36Z,0,Positive,1,10.0,10,0.5541,2026-02-21T09:38:10.528347
youtube,-5nI1t5vREA,@SouthRoyal,Ola made cheap ev scooter when people ask for service bhavish bought nationalism. If anyone ask more he brings hindutva also. These kind of business works for some years only.,2025-12-28T15:16:15Z,0,Neutral,0,5.0,10,0.3966,2026-02-21T09:38:10.645382
youtube,-5nI1t5vREA,@aishikgupta,Too much cash for Revenue Marketing,2025-12-12T13:33:36Z,0,Negative,-1,0.0,10,0.5752,2026-02-21T09:38:10.719107
youtube,-5nI1t5vREA,@arunv9197,"Wow, Great Short you correctly identify and explained clear and consizely what happened and ola failed.",2025-12-05T13:17:36Z,3,Positive,1,10.0,10,0.6968,2026-02-21T09:38:10.809237
youtube,-5nI1t5vREA,@amareshsat,He is one egoistic self centric CEO,2025-12-04T14:19:53Z,0,Negative,-1,0.0,10,0.9015,2026-02-21T09:38:10.878533
youtube,-5nI1t5vREA,@kickbuttowskii,"They have started manufacturing ferrite motors and manufacturing batteries from scratch , personally Ola will bounce back",2025-12-01T06:59:33Z,0,Positive,1,10.0,10,0.6207,2026-02-21T09:38:10.976071
youtube,-5nI1t5vREA,@ouzistyle5851,Very worst OLA Scooter service. Even now peoples are also boycotting their OLA cab service also ..... Bhavesh really fail in business,2025-12-01T05:49:35Z,0,Negative,-1,0.0,10,0.9205,2026-02-21T09:38:11.123150
youtube,-5nI1t5vREA,@110ksubscribers.20videos,"Harshad Mehta Vijay Mallya Rahim telgi
Etc.. pakda gaya wo chor hai jo bach Gaya wo suhana hai 😮😮",2025-11-29T16:12:57Z,1,Neutral,0,5.0,10,0.3511,2026-02-21T09:38:11.265460
youtube,-5nI1t5vREA,@salin1982,Satisfying to watch,2025-11-28T02:37:16Z,1,Positive,1,10.0,10,0.9103,2026-02-21T09:38:11.343388
youtube,-5nI1t5vREA,@9rkonar,Bhavesh didn't Invited OLA app. It was a Copy of UBER!,2025-11-24T11:13:25Z,0,Neutral,0,5.0,10,0.5979,2026-02-21T09:38:11.428410
youtube,-5nI1t5vREA,@basimskhan8424,Fail ola scam ola bad ola,2025-11-24T07:40:44Z,0,Negative,-1,0.0,10,0.841,2026-02-21T09:38:11.506267
youtube,-5nI1t5vREA,@parichit7,Uber ko copy Kiya. Tesla ko nahi 😂,2025-11-23T17:02:38Z,0,Neutral,0,5.0,10,0.4832,2026-02-21T09:38:11.595275
youtube,-5nI1t5vREA,@Nishikant59,Fake person fake company,2025-11-22T12:29:27Z,0,Negative,-1,0.0,10,0.758,2026-02-21T09:38:11.696341
youtube,-5nI1t5vREA,@Ramrahimsinghinsan17,TVs hero and Bajaj auto are laughing in the corner 😂😂😂,2025-11-21T08:49:31Z,0,Neutral,0,5.0,10,0.3712,2026-02-21T09:38:11.790986
youtube,-5nI1t5vREA,@HemantPatil-c2x,"Now they are not taking complaints 😢 worst service, it's life time debt😅",2025-11-20T19:18:45Z,0,Negative,-1,0.0,10,0.9517,2026-02-21T09:38:11.871319
