source,video_id,author,text,published_at,like_count,fetched_at
youtube,hZHzxvR9yvE,@saniya_cloth_House_bawana,Bekar h sala fash gaya leke me to,2026-02-14T17:17:39Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@amitt1013,Service bohot bekar hai bhai sach me ola lekar ab pachta rha hu maine galti krdi,2026-02-10T14:46:27Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@hiteshkumarchannel6307,We are scrapping ola after 3 years of torture,2026-02-07T19:02:54Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@kapiljagyasi3969,Bed servis moter ded 6 month waiting time,2026-02-07T17:42:59Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@naninani9155,"I bought Ola electric, since I buy so many complaints , break downs, but their service is nightmare for me , 60days ago I have given my vehicle as some part stopped working but yet no response resolution, as the staff are very rude when it will complete they don't reply don't speak no Customer care no point of contact nothing they saw you like a dog on street.... Pls don't buy Ola electric, I am suffering.",2026-02-05T10:41:11Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@jaiminpatel4280,Bakwas hai india main sabse bada frod kiya hai,2026-01-30T15:45:40Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@AzGaMe08,Very bad,2026-01-17T14:56:26Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@dr.firozshaikh4323,Service part is to bad my suggestion don’t buy this company any scooter,2026-01-15T21:08:42Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@jtsrinivastube,Ola Bhavesh is next level legal scammer in india. 😂,2026-01-12T13:48:58Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@narendranayak3439,Poor service.,2026-01-10T11:37:42Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@shaileshmore7996,फालतू सर्विस,2026-01-09T07:04:07Z,0,2026-02-21T08:47:37.007232
youtube,hZHzxvR9yvE,@mukeshrambhade9327,मैं होने वाले के ऊपर केस कर दो सर्विस बहुत बेकार है,2026-01-07T04:17:31Z,0,2026-02-21T08:47:37.007232
